venue,community
bmc medical informatics and decision making,medical informatics
telemedicine journal and e-health,medical informatics
artificial intelligence in medicine,medical informatics
journal of biomedical semantics,medical informatics
journal of hydroinformatics,medical informatics
methods of information in medicine,medical informatics
health informatics journal,medical informatics
applied medical informaticvs,medical informatics
ieee transactions on multimedia,multimedia
ieee transactions on circuits and systems for video technology,multimedia
international conference on multimedia and expo,multimedia
multimedia tools and applications,multimedia
journal of visual communication and image representation,multimedia
international conference on image processing,multimedia
signal processing-image communication,multimedia
international conference on multimedia retrieval,multimedia
"acm transactions on multimedia computing, communications, and applications",multimedia
eurasip journal on image and video processing,multimedia
international conference on multimedia and expo,multimedia
ieee multimedia,multimedia
iet image processing,multimedia
multimedia systems,multimedia
international conference on multimedia and expo,multimedia
international workshop on quality of service,multimedia
conference on multimedia modeling,multimedia
international conference on robotics and automation,robotics
ieee-asme transactions on mechatronics,robotics
the international journal of robotics research,robotics
international conference on intelligent robotics and applications,robotics
ieee transactions on robotics,robotics
robotics and autonomous systems,robotics
robotics: science and systems,robotics
journal of intelligent and robotic systems,robotics
robotics and computer-integrated manufacturing,robotics
journal of field robotics,robotics
mechatronics,robotics
international conference on human computer interaction,robotics
bioinspiration & biomimetics,robotics
autonomous robots,robotics
international journal of social robotics,robotics
international journal of advanced robotic systems,robotics
ieee robotics & automation magazine,robotics
international conference on information systems,robotics
international journal of control automation and systems,robotics
ieee transactions on haptics,robotics
ieee transactions on image processing,signal processing
ieee transactions on wireless communications,signal processing
ieee transactions on signal processing,signal processing
"international conference on acoustics, speech, and signal processing",signal processing
ieee signal processing magazine,signal processing
ieee journal of selected topics in signal processing,signal processing
ieee transactions on circuits and systems for video technology,signal processing
ieee signal processing letters,signal processing
conference of the international speech communication association,signal processing
signal processing,signal processing
vehicular technology conference,signal processing
"ieee transactions on audio, speech, and language processing",signal processing
siam journal on imaging sciences,signal processing
journal of visual communication and image representation,signal processing
"ieee transactions on audio, speech, and language processing",signal processing
ieee wireless communications letters,signal processing
international conference on image processing,signal processing
applied and computational harmonic analysis,signal processing
digital signal processing,signal processing
signal processing-image communication,signal processing
international conference on software engineering,software systems
ieee transactions on software engineering,software systems
journal of systems and software,software systems
information & software technology,software systems
mining software repositories,software systems
empirical software engineering,software systems
ieee software,software systems
software and systems modeling,software systems
international symposium on software testing and analysis,software systems
"conference on object-oriented programming systems, languages, and applications",software systems
acm sigplan symposium on principles and practice of parallel programming,software systems
science of computer programming,software systems
acm transactions on software engineering and methodology,software systems
international conference on software maintenance,software systems
international conference on functional programming,software systems
symposium on the theory of computing,theory
symposium on discrete algorithms,theory
journal of the acm,theory
siam journal on computing,theory
theoretical computer science,theory
journal of computer and system sciences,theory
algorithmica,theory
"international colloquium on automata, languages and programming",theory
information & computation,theory
acm transactions on algorithms,theory
logical methods in computer science,theory
random structures and algorithms,theory
journal of automated reasoning,theory
journal of logic and computation,theory
european symposium on algorithms,theory
information processing letters,theory
symposium on theoretical aspects of computer science,theory
theory and applications of satisfiability testing,theory
