venue,community
acm/ieee international conference on human robot interaction,hci
behaviour & information technology,hci
ieee transactions on human-machine systems,hci
international conference on multimodal interfaces (icmi),hci
international journal of human-computer interaction,hci
international conference on intelligent user interfaces (iui),hci
ieee transactions on haptics,hci
hci international,hci
"international conference on tangible, embedded, and embodied interaction",hci
conference on designing interactive systems,hci
mobile hci,hci
interaction design and children,hci
computer supported cooperative work (cscw),hci
ieee transactions on information theory,information theory
ieee international symposium on information theory,information theory
"allerton conference on communication, control, and computing",information theory
"designs, codes and cryptography",information theory
information theory and applications workshop,information theory
conference on information sciences and systems,information theory
ieee information theory workshop,information theory
physical communication,information theory
"data compression conference, dcc",information theory
cryptography and communications,information theory
advances in mathematics of communications,information theory
workshop on smart antennas,information theory
problems of information transmission,information theory
canadian workshop on information theory,information theory
international symposium on turbo codes and iterative information processing,information theory
international symposium on information theory and its applications,information theory
iran workshop on communication and information theory,information theory
international workshop on signal design and its applications in communications,information theory
journal of medical internet research,medical informatics
journal of the american medical informatics association,medical informatics
journal of biomedical informatics,medical informatics
international journal of medical informatics,medical informatics
journal of medical systems,medical informatics
journal of medical internet research - mobile health and ubiquitous health,medical informatics
bmc medical informatics and decision making,medical informatics
telemedicine and e-health,medical informatics
artificial intelligence in medicine,medical informatics
journal of telemedicine and telecare,medical informatics
journal of biomedical semantics,medical informatics
jmir research protocols,medical informatics
journal of pathology informatics,medical informatics
studies in health technology and informatics,medical informatics
amia symposium,medical informatics
methods of information in medicine,medical informatics
health informatics journal,medical informatics
healthcare informatics research,medical informatics
yearbook of medical informatics,medical informatics
applied clinical informatics,medical informatics
ieee transactions on multimedia,multimedia
ieee transactions on circuits and systems for video technology,multimedia
acm international conference on multimedia,multimedia
multimedia tools and applications,multimedia
journal of visual communication and image representation,multimedia
ieee international conference on image processing (icip),multimedia
signal processing: image communication,multimedia
acm international conference on multimedia retrieval,multimedia
"acm transactions on multimedia computing, communications, and applications (tomm)",multimedia
international society for music information retrieval conference,multimedia
eurasip journal on image and video processing,multimedia
acm multimedia systems conference (mmsys),multimedia
ieee international conference on multimedia and expo,multimedia
ieee multimedia,multimedia
iet image processing,multimedia
multimedia systems,multimedia
ieee international conference on advanced video and signal-based surveillance (avss),multimedia
ieee international conference on multimedia and expo workshops (icmew),multimedia
international workshop on quality of multimedia experience,multimedia
conference on multimedia modeling,multimedia
ieee international conference on robotics and automation,robotics
ieee/asme transactions on mechatronics,robotics
the international journal of robotics research,robotics
ieee/rsj international conference on intelligent robots and systems,robotics
ieee transactions on robotics,robotics
robotics and autonomous systems,robotics
robotics: science and systems,robotics
journal of intelligent & robotic systems,robotics
robotics and computer-integrated manufacturing,robotics
journal of field robotics,robotics
mechatronics,robotics
acm/ieee international conference on human robot interaction,robotics
bioinspiration & biomimetics,robotics
autonomous robots,robotics
international journal of social robotics,robotics
international journal of advanced robotic systems,robotics
ieee robotics & automation magazine,robotics
international conference on unmanned aircraft systems,robotics
"international journal of control, automation and systems",robotics
ieee transactions on haptics,robotics
ieee transactions on image processing,signal processing
ieee transactions on wireless communications,signal processing
ieee transactions on signal processing,signal processing
"ieee international conference on acoustics, speech and signal processing (icassp)",signal processing
ieee signal processing magazine,signal processing
ieee journal of selected topics in signal processing,signal processing
ieee transactions on circuits and systems for video technology,signal processing
ieee signal processing letters,signal processing
conference of the international speech communication association (interspeech),signal processing
signal processing,signal processing
"ieee vehicular technology conference, vtc",signal processing
"ieee/acm transactions on audio, speech and language processing (taslp)",signal processing
siam journal on imaging sciences,signal processing
journal of visual communication and image representation,signal processing
"ieee transactions on audio, speech, and language processing",signal processing
ieee wireless communications letters,signal processing
ieee international conference on image processing (icip),signal processing
applied and computational harmonic analysis,signal processing
digital signal processing,signal processing
signal processing: image communication,signal processing
acm/ieee international conference on software engineering,software systems
ieee transactions on software engineering,software systems
journal of systems and software,software systems
acm sigsoft international symposium on foundations of software engineering,software systems
acm sigplan conference on programming language design and implementation (pldi),software systems
information and software technology,software systems
acm sigplan-sigact symposium on principles of programming languages (popl),software systems
mining software repositories,software systems
empirical software engineering,software systems
ieee software,software systems
international conference on tools and algorithms for the construction and analysis of systems (tacas),software systems
ieee/acm international conference on automated software engineering (ase),software systems
software & systems modeling,software systems
international symposium on software testing and analysis,software systems
"acm sigplan international conference on object-oriented programming, systems, languages, and applications (oopsla)",software systems
acm sigplan symposium on principles & practice of parallel programming (ppopp),software systems
science of computer programming,software systems
acm transactions on software engineering and methodology (tosem),software systems
ieee international conference on software maintenance,software systems
international conference on functional programming (icfp),software systems
acm symposium on theory of computing,theory
ieee symposium on foundations of computer science (focs),theory
acm siam symposium on discrete algorithms,theory
journal of the acm (jacm),theory
siam journal on computing,theory
theoretical computer science,theory
journal of computer and system sciences,theory
algorithmica,theory
"international colloquium on automata, languages and programming (icalp)",theory
conference on innovations in theoretical computer science,theory
information and computation,theory
acm transactions on algorithms (talg),theory
logical methods in computer science (lmcs),theory
random structures & algorithms,theory
journal of automated reasoning,theory
journal of logic and computation,theory
european symposium on algorithms,theory
information processing letters,theory
symposium on theoretical aspects of computer science (stacs),theory
theory and applications of satisfiability testing,theory
